Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Arúgula, cruda;taza;20;1;25;2.6;0.7;0;0;3.7;2.1;1.6;27;Verduras
Hojas de remolacha, crudas;hojas;32;1;22;2.2;0.1;0;0;4.3;0.5;3.7;226;Verduras
Hojas de remolacha, hervidas;taza;144;1;27;2.6;0.2;0;0;5.5;0.6;2.9;241;Verduras
Mezcla de verdura congelada, cocidas sin sal;taza;91;1;65;2.8;0.2;0;0;10;3.1;4.4;35;Verduras
Palmito, enlatado;pieza;33;1;90.2;2.5;0.6;0;0;4.6;ND;2.4;426;Verduras
Verdura (mezcla) congelada, cocida sin sal;taza;91;1;65;2.8;0.2;0;0;10;3.1;4.4;35;Verduras
Café instantáneo,  descafeinado;cucharadita;1.8;1;222.2;11.1;0;0;0;44.4;0;0;0;Libre
Frijoles refritos, caseros o enlatados;taza;228;1;126;5.5;5.5;0.8;0;15;3.9;9.4;315;Leguminosas
Yoghurt Oikos® estilo griego sabor natural, sin azúcar y sin endulzar 900g;g;1;1;93.3;7.9;3.3;2.1;NA;8;6.3;0;80.8;Leche semidescremada
Yoghurt Activia® ZERO bebible ciruela pasa, fresa y piña coco;pieza;225;1;53.5;2.4;1.5;0.9;NA;7.6;6.2;0.1;41.9;Leche semidescremada
Leche descremada en polvo, reducida en Ca;cucharada;7.5;1;357.1;36.1;0.4;0;3.6;52.5;0;0;2307.1;Leche descremada
Yoghurt Triple 0 sólido Vitalinea, sabor fresa;pieza;220;1;48.8;3.4;0;0;NA;9.4;6;0.3;82.8;Leche descremada
Avena integral con pasitas, instantánea preparada;sobre;43;1;360;7.8;4.3;0.2;0;76.3;36.3;6.2;562;Cereales y tubérculos sin grasa
Cereal de avena integral,  seco;taza;57;1;371.9;15.1;5.3;1.1;0;72.5;16.1;11.4;359.6;Cereales y tubérculos sin grasa
Granola con fruta seca,  baja en grasas;cucharada;6;1;381.8;7.3;4.5;0;0;80;34.5;5.5;381.8;Cereales y tubérculos sin grasa
Hojuelas de avena instantaneas con pasas, dátiles y nueces. Preparado;taza;243;1;116.1;2.9;1.7;0.3;0;23.5;ND;2.1;206.8;Cereales y tubérculos sin grasa
Hojuelas de avena, fruta seca y nueces;taza;85;1;340;9.6;4.9;0.8;0;77.8;31.1;7.3;230.6;Cereales y tubérculos sin grasa
Concha,  pan dulce;pieza;65;1;404;10.9;17;0;0;51.8;0;0;384;Cereales y tubérculos con grasa
Pan de dulce, orejas;pieza;50;1;490;6;26.6;9;0;58.2;0;1.2;308;Cereales y tubérculos con grasa
Nature Valley con chocolate oscuro, cacahuate y almendra;pieza;35;1;480;8.57;22.8;8.57;0;60;25.7;2.85;428.5;Cereales y tubérculos con grasa
Dany, Gelatina de Agua ;pieza;125;1;68.4;1.5;0;0;NA;15.6;15.3;0;83.8;Azúcares sin grasa
Boquilla, crudo;g;1;1;80;19.5;0.2;0;ND;0;0;0;ND;AOAMB
Filete de guachinango, pargo;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Filete de huachinango, pargo;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Jorobado, lamparosa;g;1;1;95;20.6;1.4;ND;ND;0;0;0;ND;AOAMB
Tofu, firme;g;1;1;144.7;15.8;8.7;0;0;4.2;0;2.4;ND;AOAB
Falafel, hecho en casa;g;1;1;335.3;13.5;17.6;0;0;31.8;0;0;ND;Aceites y grasas con proteína
Hummus, de garbanzo;g;1;1;335.3;13.5;17.6;0;0;31.8;0;0;ND;Aceites y grasas con proteína
Aderezo blue cheese bajo en calorías;cucharada;15;1;142.9;2.9;25;5;0;17.3;8.6;2.9;971.4;Azúcares con grasa
Aderezo de miel;cucharada;16;1;110;3.9;3.8;0;0;16.8;12;0;823;Azúcares con grasa
Aderezo de miel y mostaza bajo en calorías;cucharada;15;1;142.9;2.9;4;0.7;0;31.4;14.3;2.9;942.9;Azúcares con grasa
Aderezo francés bajo en calorías;cucharada;15;1;131.3;0;5.6;0.6;0;21.9;ND;0;787.5;Azúcares con grasa
Aderezo mil islas bajo en calorías;cucharada;15;1;160;0.7;10.7;1.3;13.3;16;ND;1.3;1000;Azúcares con grasa
Aderezo ranch bajo en calorías;cucharada;15;1;142.9;2.9;6.2;2;1.7;31.4;5.7;2.9;885.7;Azúcares con grasa
Aderezo ruso bajo en calorías;cucharada;15;1;143.8;0.6;3.8;0.6;6.3;27.5;ND;0;868.8;Azúcares con grasa
Aderezo tipo cesar bajo en calorías;cucharada;15;1;193.5;3.2;16.1;3.2;16.1;6.5;6.5;0;1806.5;Azúcares con grasa
Almendra con chocolate;pieza;6;1;510;9.5;37.1;11.7;0;43.8;26.9;10.4;9;Azúcares con grasa
Almond joy;pieza;49;1;491.8;4.3;26.7;17.3;4.1;58.4;45.5;4.7;146.9;Azúcares con grasa
Almond joy miniatura;pieza;20;1;491.8;4.3;26.7;17.3;4.1;58.4;45.5;4.7;146.9;Azúcares con grasa
Cacahuate confitado (chocolate);pieza;4;1;519;13.1;33.5;14.6;9;49.7;37.6;4.7;41;Azúcares con grasa
Carlos V;pieza;22;1;509;4;25;15;ND;67;60;0;150;Azúcares con grasa
